Crater,Lat,Lon,Mean Diameter,Max Diameter,Min Diameter,Mean Depth,Max Depth,Min Depth
crater_1,-7.19,92.99,285.0702808223767,286.13792602925065,283.19740404424215,11.282663981119791,11.879974365234375,10.757293701171875
crater_2,28.34,353.68,226.32245673842178,239.95382199465996,208.26108956301772,23.138224283854168,23.308135986328125,22.88677978515625
crater_3,-0.7,330.28,209.51805451500536,214.72384013620507,202.76925930571178,7.163116455078125,9.68426513671875,3.596466064453125
crater_4,-14.83,51.2,190.0383952714974,194.4479828180646,184.62644550078068,23.161946614583332,23.65802001953125,22.261444091796875
crater_5,-50.56,9.84,193.06727651190386,197.54972459521335,190.65688545511296,11.75146484375,12.1585693359375,11.17169189453125
crater_6,0.42,157.84,168.97144482039468,170.75791387419892,167.44931093111776,16.7822265625,18.169158935546875,16.000823974609375
crater_7,30.37,145.99,155.25509978342743,160.77089781648448,151.52513654377677,11.553680419921875,11.624786376953125,11.435546875
crater_8,3.24,229.95,134.41588149738297,135.29547557228398,133.61824122417082,5.488454182942708,5.729278564453125,5.317962646484375
crater_9,-17.19,14.29,129.38431148835693,130.598162054066,128.29763433594195,17.205800374348957,17.2374267578125,17.1474609375
crater_10,-31.5,47.26,144.6019651155823,147.32152322785564,142.23993119128218,15.992635091145834,16.425048828125,15.690093994140625
crater_11,17.02,332.23,102.72716222989463,103.29938018402798,102.40584397447046,12.173014322916666,12.21282958984375,12.131927490234375
crater_12,-1.88,289.49,84.74818011597596,85.38863072399946,83.4787965770676,4.493906656901042,4.741424560546875,4.36871337890625
crater_13,-63.73,24.45,113.46348540687507,114.47936773203944,112.28077922951917,9.65362548828125,9.728485107421875,9.547393798828125
crater_14,16.9,6.44,80.89002340569073,83.84297644221041,79.2307160471301,8.486440022786459,8.77642822265625,8.330596923828125
crater_15,-4.54,95.52,79.98677428505177,81.44229621129493,77.85969324199823,11.976776123046875,12.224151611328125,11.727264404296875
crater_16,6.01,308.75,86.5121049378764,86.9364747853372,86.1590720009542,4.968037923177083,5.080596923828125,4.88214111328125
crater_17,23.7,205.33,70.40708397083597,70.57620406269477,70.17869501741052,7.64215087890625,7.705810546875,7.59918212890625
crater_18,20.86,322.68,75.70088707793462,77.64125042867072,73.63053992313962,6.093780517578125,6.209808349609375,6.0159912109375
crater_19,57.73,342.98,57.71827497945159,58.30185902343149,57.28679097563771,4.580179850260417,4.5970458984375,4.563232421875
crater_20,-11.64,287.71,96.87939377089101,97.87800009679952,96.22446686399493,5.948028564453125,5.958709716796875,5.942108154296875
crater_21,-8.44,119.53,67.21474630256098,67.98241293877386,66.41542733525336,5.609619140625,5.677734375,5.535369873046875
crater_22,8.28,111.52,77.10521330948738,78.66531178935375,75.46283433837857,5.595021565755208,5.619781494140625,5.573760986328125
crater_23,18.59,149.73,75.16502122372987,75.8256182830874,74.7758155865729,5.442128499348958,5.4691162109375,5.420013427734375
crater_24,19.65,136.94,65.97334164965254,67.73802845196366,64.21169086097325,8.27081298828125,8.6572265625,7.85693359375
crater_25,-12.18,179.11,66.35960984263836,68.60808771839658,64.91404429323718,6.939381917317708,7.355804443359375,6.6822509765625
crater_26,28.48,213.16,59.272784996931925,61.45902491684775,57.782990496868315,3.5998026529947915,3.62451171875,3.571746826171875
crater_27,-16.28,199.13,58.17383867329524,59.32442676844836,57.058212469790014,4.946116129557292,4.961944580078125,4.935638427734375
crater_28,36.81,121.83,89.63679890120675,93.77440608875354,85.97643619481335,4.725870768229167,4.9984130859375,4.210784912109375
crater_29,-36.18,176.65,67.19128706269748,69.8681461281274,65.79964860838423,5.464925130208333,5.56072998046875,5.375274658203125
crater_30,-0.07,329.24,47.20541362011952,47.441876604066785,46.98345161399081,5.092600504557292,5.119384765625,5.0718994140625
crater_31,-17.2,307.19,49.11175791745549,49.630239166610295,48.19589518728199,3.3227030436197915,3.347564697265625,3.292755126953125
crater_32,33.09,81.45,80.94896438680911,83.8714368071788,78.7173765889076,7.061594645182292,7.07415771484375,7.052001953125
crater_33,-26.28,17.83,47.346250422999844,48.262618085633356,46.41368447037799,4.393046061197917,4.49603271484375,4.297027587890625
crater_34,-1.87,279.89,53.91767049437359,56.38900658108709,52.649868732631084,4.214823404947917,4.45513916015625,3.89923095703125
crater_35,33.5,217.25,45.158968498132275,45.35674458375576,45.05408496177821,2.8924560546875,2.89971923828125,2.8780517578125
crater_36,24.37,335.5,39.14490950670794,40.250843326502356,37.89357658503864,4.89788818359375,4.92498779296875,4.878631591796875
crater_37,-3.08,47.02,41.56014634639462,42.75607443124741,40.62504146138885,3.70428466796875,3.8154296875,3.6234130859375
crater_38,18.62,20.92,54.09786625202009,54.39674977204941,53.758526258380634,7.745005289713542,7.762420654296875,7.730499267578125
crater_39,-69.03,170.39,75.5439520889815,78.05761523448525,73.5801638296819,11.702433268229166,12.25543212890625,11.380523681640625
crater_40,-19.49,150.94,49.04129940895242,50.14298357527027,47.05126114405472,3.3233235677083335,3.4105224609375,3.1805419921875
crater_41,11.91,334.53,40.47760069221845,41.55794142446717,39.51820862517021,5.363271077473958,5.443939208984375,5.2069091796875
crater_42,17.52,323.27,48.73161446864342,50.126204392814415,47.31826941551385,1.6406046549479167,1.79095458984375,1.533050537109375
crater_43,-15.38,328.28,41.970998620461216,44.545917966141225,39.634181646165906,4.540374755859375,4.679840087890625,4.329864501953125
crater_44,-14.87,115.35,50.260901992997454,50.93413083291765,48.92681468756376,3.0744832356770835,3.111541748046875,3.047943115234375
crater_45,55.75,357.5,40.27679935249757,40.27679935249757,40.27679935249757,3.77337646484375,3.77337646484375,3.77337646484375
crater_46,7.79,173.0,30.43316991125057,30.912367801952676,30.149144204594393,2.752593994140625,2.787322998046875,2.707855224609375
crater_47,-34.51,263.82,30.754248539733947,32.07732006515229,29.915370882929633,2.9828389485677085,3.12493896484375,2.734954833984375
crater_48,-10.68,176.31,38.45149362159318,39.785595290407436,36.444294365387144,4.552775065104167,5.2713623046875,3.79315185546875
crater_49,-28.57,9.83,31.934392351439687,32.20227841194131,31.398620230436443,2.44000244140625,2.5203857421875,2.27923583984375
crater_50,-7.92,26.75,32.20254761914186,34.59197638854147,28.955456709851624,1.9528299967447917,2.060089111328125,1.8240966796875
crater_51,-6.3,319.67,38.85435857605938,40.61308515870988,36.80752116261098,2.5428568522135415,2.643157958984375,2.47265625
crater_52,-5.81,9.76,36.472243958422666,38.224932805430164,33.825861408088564,1.83612060546875,1.90478515625,1.76605224609375
crater_53,52.36,57.31,30.144443350322792,30.662521819780988,29.88311090043777,3.8622233072916665,3.896514892578125,3.8416748046875
crater_54,37.1,73.44,28.777773819264667,30.45396804208349,27.408677781650233,0.86669921875,0.937347412109375,0.751953125
crater_55,79.0,209.0,38.871245377689206,39.41461385060639,38.22120456186555,3.77001953125,3.77630615234375,3.763427734375
crater_56,21.44,13.71,26.50435192164326,26.838705806296133,26.050702686423904,3.8281148274739585,3.849090576171875,3.7960205078125
crater_57,-0.89,4.52,24.06025385019304,24.64411736546511,23.544019337601497,0.292022705078125,0.379119873046875,0.183929443359375
crater_58,4.61,301.74,29.048463898379328,32.35712801324801,27.114158967627493,2.0058695475260415,2.06781005859375,1.90380859375
crater_59,-24.0,346.55,35.625627267538505,37.3198325524604,33.387806922728196,3.4982808430989585,3.594879150390625,3.371063232421875
crater_60,-19.26,102.14,29.304797640302436,30.121130689154946,28.165255263620807,3.30450439453125,3.4083251953125,3.19354248046875
crater_61,-2.08,263.1,33.02137862145523,33.28987575300692,32.76790811333674,1.39501953125,1.572784423828125,1.199005126953125
crater_62,37.02,78.22,37.84637877533828,38.95622087344341,35.67547151838608,3.801055908203125,3.87933349609375,3.729705810546875
crater_63,31.21,208.26,34.35798148969466,35.59878772815182,33.44127680895818,3.8561503092447915,3.912445068359375,3.7967529296875
crater_64,8.4,225.72,58.055381504163414,62.603193664735976,53.2464930973836,2.3088785807291665,2.5216064453125,2.17205810546875
crater_65,25.81,196.97,37.14611240766404,37.897353241942426,36.05669860842995,2.275421142578125,2.36968994140625,2.228179931640625
crater_66,-69.0,211.0,27.616358949157856,29.089450623534574,26.676925487435298,1.4425760904947917,1.465179443359375,1.40771484375
crater_67,-31.59,174.66,17.268942581762417,19.635069319310407,14.90281584421443,1.07470703125,1.4525146484375,0.6968994140625
crater_68,-6.96,195.4,22.32240652891197,24.908172352636594,20.093344431375066,0.9470418294270834,0.95977783203125,0.936279296875
crater_69,9.65,149.1,24.444068413476874,25.420953727652662,23.87722415931139,2.296356201171875,2.368194580078125,2.172149658203125
crater_70,-8.37,201.1,23.004930272763517,23.429150508287545,22.72058677465242,0.9820454915364584,0.988677978515625,0.977203369140625
crater_71,-12.89,221.27,19.425165610300635,19.52006939268353,19.3025653256581,1.4782918294270833,1.500946044921875,1.447021484375
crater_72,52.43,100.93,21.882895375996966,22.314736528491043,21.19243547553775,1.2953592936197917,1.32391357421875,1.2762451171875
crater_73,23.18,141.89,20.51090655822855,22.87538705401213,18.89653961428927,1.12078857421875,1.180633544921875,1.041778564453125
crater_74,17.15,137.76,15.731815307851221,15.771956535599909,15.651532852353844,0.37615966796875,0.3828125,0.372833251953125
crater_75,19.01,224.05,26.544862195653263,28.578702564085088,24.779858896647756,1.584991455078125,1.622528076171875,1.524932861328125
crater_76,-35.88,231.29,19.972755506021155,22.409161519268572,18.737626656953303,1.0196533203125,1.034698486328125,0.997100830078125
crater_77,3.4,314.61,16.622902190521362,18.785216377517642,13.424631419583907,0.2920328776041667,0.412750244140625,0.054412841796875
