asteroid,crater_id,crater,lat,lon,diameter_m,diameter_min_m,diameter_max_m,diameter_range_m,diameter_range_pct,depth_m,depth_min_m,depth_max_m,depth_range_m,depth_range_pct,d_to_D,d_to_D_min,d_to_D_max,global_scaling_predicted_depth_m,depth_ratio_to_global_scaling,log10_depth_residual
Bennu,1,crater_1,-3.5,125.9,43.60544561305252,41.55706024169922,46.74095505541106,5.183894813711838,11.888182177319916,4.124253571254239,4.037776229174483,4.182165328308031,0.14438909913354792,3.5009753071423617,0.09458115868949443,0.08638625856890876,0.10063669816835502,2.5497813415791346,1.6174930391089926,0.2088424203558486
Bennu,2,crater_2,54.9,41.7,20.77832234742183,18.917932510375977,22.025570996306307,3.1076384859303303,14.956156873347982,1.3295969311547915,1.3090942049178125,1.34942318441,0.0403289794921875,3.033173328488407,0.06398961903292291,0.05943519943874998,0.07133037310868287,1.2383764663062267,1.0736613358946114,0.030867313815674494
Bennu,3,crater_3,11.8,88.1,21.175955196952103,19.06209945678711,23.76423671705564,4.702137260268529,22.205077487816546,1.397433244624608,1.3509130904946005,1.44717859187125,0.09626550137664958,6.888737028902539,0.06599150931457125,0.056846475086870664,0.07591916069643517,1.261459990617731,1.1077903817942665,0.044457590137430045
Bennu,4,crater_4,12.9,111.3,52.04570886732494,45.93046951293945,59.058989181897225,13.128519668957772,25.22498003135096,3.33596947263131,3.299480621719852,3.358364288712039,0.058883666992187056,1.7651140837851083,0.06409691683007666,0.055867543068807035,0.07311844020592749,3.029498318514865,1.1011623450138388,0.041851351983634044
Bennu,5,crater_5,27.8,63.7,12.62223169410631,11.101312637329102,13.923286127817317,2.821973490488215,22.35716756653958,0.7425479359063445,0.7212036880467565,0.7703404211642635,0.04913673311750699,6.617314619228094,0.05882857753697089,0.051798381605177565,0.06939183196894472,0.7619843437310401,0.9744923790303543,-0.011221552911681143
Bennu,6,crater_6,-7.7,269.2,168.78248790840897,150.70333862304688,182.32691696360504,31.62357834055817,18.736291147526472,12.461903070716724,12.01454547243145,13.023933465627806,1.0093879931963556,8.099790116071754,0.07383409988291716,0.06589562129671571,0.086421001582483,9.531731572972474,1.3074122970534383,0.1164125654680026
Bennu,7,crater_7,-43.3,325.2,64.44205094309858,61.65472030639648,66.7050087491121,5.050288442715619,7.83694554845089,4.912641732200778,4.8408438114848025,4.978907511295716,0.13806369981091393,2.8103759104994572,0.07623347892106307,0.07257091936966785,0.08075468490575848,3.730514558509236,1.3168804611672487,0.11954635399622504
Bennu,8,crater_8,-1.2,152.6,71.20488238995577,64.27980041503906,78.09041098532339,13.810610570284325,19.39559494621462,5.341025273420295,5.261822025659228,5.443340520347704,0.18151849468847558,3.398570225679431,0.07500925630590896,0.06738115421941056,0.08468197606715291,4.111444661640824,1.2990629116941008,0.11363018382129397
Bennu,9,crater_9,0.6,114.1,74.40736783338757,64.49040222167969,83.05049741528987,18.56009519361018,24.943894313221524,7.009321786787932,6.925696788059497,7.12478214286449,0.19908535480499268,2.8402941234664714,0.09420198551416513,0.08339139443594053,0.11047817810739839,4.29150091442595,1.6333031092282848,0.2130667888087544
Bennu,10,crater_10,11.4,55.7,7.207741613163958,5.845676422119141,8.238356827043637,2.392680404924496,33.195979175427034,0.1870905040718658,0.0782413702235373,0.2426188055935938,0.1643774353700565,87.85984953406044,0.025956882767574588,0.00949720579796912,0.04150397457436432,0.44143595309315536,0.4238225336221866,-0.37281595662094574
Bennu,11,crater_11,0.4,302.2,56.85585245060874,52.73500442504883,62.32647025843454,9.591465833385712,16.869795139766687,2.118977645811166,2.106508372768189,2.127138255580689,0.0206298828125,0.973577180169009,0.03726929690574851,0.03379797322122728,0.04033636251237917,3.3019734073833895,0.6417306817411123,-0.1926471961890699
Bennu,12,crater_12,56.0,77.5,27.12390734375825,23.644481658935547,29.99765558430085,6.353173925365304,23.42278287876284,1.3685778274373586,1.3420454774405357,1.3857466493155357,0.043701171875,3.1931813448146964,0.05045651461983391,0.044738345423996725,0.058607613789319196,1.605526952851459,0.8524166006722762,-0.06934810106229097
Bennu,13,crater_13,53.3,68.1,21.454024522068,18.35728073120117,24.009492977880416,5.652212246679248,26.345696775284654,1.485918735508837,1.4599935046869916,1.509692202970541,0.04969869828354945,3.3446444341742994,0.06926060581222857,0.060809010254071656,0.08223942451370671,1.2775959349227666,1.1630584403813589,0.0656015373402188
Bennu,14,crater_14,9.0,61.3,18.13268477477969,13.885719299316406,22.572393767878925,8.686674468562519,47.90616820651183,0.6559306873171522,0.5755932764522811,0.7734582999768236,0.1978650235245425,30.16553842507933,0.0361739419983449,0.025499877521690438,0.055701709310435284,1.0844901458542766,0.6048286282956138,-0.21836766060116358
Bennu,15,crater_15,22.3,48.9,10.409451613341576,8.971580505371094,12.182699568675297,3.211119063304203,30.84810980041042,0.6483387453678043,0.6202524009667627,0.6665475669823877,0.046295166015625,7.140582966295131,0.06228366002843437,0.050912558211776274,0.07429544510951441,0.6315252460674132,1.0266236376219176,0.01141125950645186
Bennu,16,crater_16,25.7,50.8,10.980663383824512,9.557602882385254,13.4186356621948,3.8610327798095465,35.162108561648374,0.3841513388222874,0.3770610881712457,0.3941356731321832,0.0170745849609375,4.444754771201354,0.03498434706487554,0.028099808181957314,0.041237921054303135,0.665265075432226,0.5774410126259858,-0.2384923736859738
Bennu,17,crater_17,19.8,252.6,57.44197303204614,52.7373046875,63.545407945891405,10.808103258391405,18.815689447787076,2.7528942662515967,2.690872374975555,2.78685015817868,0.095977783203125,3.4864318757076904,0.04792478602216174,0.04234566213292421,0.05284400055506117,3.3351332026530978,0.8254225840400228,-0.08332365274745462
Bennu,18,crater_18,-7.7,324.7,63.794242826916765,52.926368713378906,76.84561476995506,23.919246056576156,37.4943646897301,1.649185741453626,1.4757642543451084,1.9328120662076744,0.45704781186256604,27.713543743090742,0.025851639087999072,0.01920427416402295,0.03651888677031213,3.6939730935959076,0.44645310067708743,-0.3502241564550108
Bennu,19,crater_19,26.8,333.3,33.822992703029634,30.22409439086914,36.96239775755393,6.738303366684789,19.922256513041255,1.8917405573753,1.8764381247343351,1.92142989531348,0.04499177057914494,2.3783266898696134,0.05593060832863115,0.05076613635950745,0.06357278634935558,1.9907277956190221,0.9502758546590033,-0.022150305483885302
Bennu,20,crater_20,32.0,229.8,43.80722544151951,40.08599853515625,49.804261967372746,9.718263432216496,22.184156458824123,4.059697441022706,4.048535107008291,4.076367138258291,0.02783203125,0.6855691010064199,0.0926718686268365,0.08128892884027727,0.10169054750334416,2.561276051187548,1.5850292431932154,0.20003727919748598
Bennu,21,crater_21,35.1,248.0,16.433909397703342,13.342387199401855,20.35944029783877,7.017053098436914,42.69862349014505,1.3022061077685312,1.2959320728832893,1.3092377369457893,0.0133056640625,1.0217786557076338,0.07923897328717877,0.06365263749518975,0.09812619866139718,0.9853787009080801,1.32152857228239,0.12107655729022894
Bennu,22,crater_22,-24.8,136.9,179.9856646656956,160.7398681640625,192.94239693933687,32.202528775274374,17.89171867386615,8.266369641371218,8.21608946775163,8.344501595246442,0.128412127494812,1.5534283254421601,0.04592793352028968,0.042583121170277856,0.05191307975149918,10.147626653088148,0.8146111326292812,-0.08904965905921713
Bennu,23,crater_23,-9.0,46.5,144.21680643655085,129.0736083984375,162.1960189454306,33.12241054699311,22.967094727316358,8.327219994395497,8.20565274369207,8.443103100038257,0.23745035634618716,2.8514961356370954,0.05774098179090599,0.05059096269466878,0.06541308641480938,8.177437923115045,1.018316503615034,0.007882782332703564
Bennu,24,crater_24,31.3,161.2,143.30212093018153,135.5166778564453,151.4645365257789,15.947858669333584,11.128836451139176,3.628214391064783,3.606353632601241,3.651092402132491,0.04473876953125,1.2330795457244295,0.02531863706910864,0.02380988788083373,0.026942015255127075,8.126902893192758,0.446444905119248,-0.3502321288897632
Bennu,25,crater_25,21.6,189.2,139.5919146754343,121.29519653320312,161.0748374470549,39.77964091385178,28.497095269696366,2.250619165364933,2.236708236002954,2.272810530924829,0.036102294921875,1.6041050159644,0.016122847591838366,0.01388614305904954,0.01873784449743378,7.921833791986358,0.28410330542931045,-0.5465237134035728
Bennu,26,crater_26,11.2,41.8,105.2562839249956,90.02021789550781,122.7611890391915,32.740971143683694,31.105953889664708,5.337714378142844,4.887995791541414,5.857028529791165,0.9690327382497514,18.154450942856705,0.05071159819727663,0.03981711019417482,0.06506347870197104,6.016820628696976,0.8871320432397198,-0.05201173373938195
Bennu,27,crater_27,-1.7,84.4,83.27471722727687,78.78327178955078,86.84719123971543,8.063919450164647,9.683514659264779,3.7833254656269446,3.674348589612862,3.8726802366417994,0.19833164702893757,5.242257078616722,0.045431862053657096,0.04230820291552012,0.0491561234850295,4.789043751385805,0.7899960121542353,-0.10237510099282643
Bennu,28,crater_28,36.0,303.6,52.16161712840435,42.56628036499024,58.4032945336739,15.837014168683659,30.361432487221894,0.9708807751562556,0.9340431340518478,0.9993142533004972,0.06527111924864937,6.72287688858032,0.018612934732569232,0.01599298706536669,0.023476663798944704,3.036071439093655,0.31978192695165575,-0.4951460848266939
Bennu,29,crater_29,44.1,298.6,31.560703129722373,27.01930046081543,35.49553263813544,8.476232177320007,26.856918055597735,0.7418020294207963,0.6446192491450802,0.8313013139020313,0.18668206475695115,25.16602238237521,0.023503976650070334,0.018160574056367836,0.03076694435918579,1.8608861152731804,0.3986283864082133,-0.3994317783362441
Bennu,30,crater_30,49.9,287.0,33.18548014056365,28.490497589111328,38.477657877766255,9.987160288654927,30.094969987935507,1.544876188013414,1.529923004757478,1.5658250083918688,0.03590200363439089,2.3239405146478416,0.046552774932584556,0.03976133395690701,0.054959552864752535,1.9541617172060675,0.7905569812421548,-0.10206682181376775
Bennu,31,crater_31,-40.0,238.1,194.44090852643944,185.4698638916016,213.5093692663461,28.03950537474452,14.420579284081981,9.037762763576646,8.783045249964289,9.355404573465876,0.5723593235015869,6.332975742716649,0.04648076802391468,0.04113658000182521,0.05044164252438159,10.940856243513302,0.8260562576110095,-0.08299037454639946
Bennu,32,crater_32,-10.2,234.1,95.14871350936168,89.24836730957031,100.2855493879466,11.03718207837629,11.599927809103107,7.3324182286317905,7.2993949507132925,7.384533510054723,0.08513855934143066,1.1611252479977168,0.07706271538721701,0.07278610921775149,0.08274138488652064,5.453177602240404,1.344613867998598,0.12859758614242
Bennu,33,crater_33,-6.2,333.0,136.81875549158022,120.55589294433594,149.82748684312483,29.271593898788893,21.39443075155749,8.174849879579474,8.081841652251711,8.350090410506056,0.26824875825434447,3.281390633538381,0.05974948281182511,0.053940981208032354,0.06926322891873504,7.7684654188071365,1.0523120640774815,0.022144549332390184
Bennu,34,crater_34,-35.1,352.0,102.92948716821036,78.59420776367188,125.48512497982708,46.8909172161552,45.55634979461688,3.9166814340649783,3.4560137817508974,4.26261584615952,0.8066020644086223,20.594017613821606,0.03805208343906565,0.027541222772870366,0.05423575054000102,5.88719653914812,0.6652880378666148,-0.176990285264646
Bennu,35,crater_35,11.4,74.5,61.39414086440173,55.338958740234375,68.97659600451472,13.637637264280343,22.21325532415403,3.919509115278137,3.861505371788553,3.954309326866678,0.092803955078125,2.36774433605417,0.06384174548406772,0.05598283469273848,0.0714561570525483,3.558504504479788,1.1014484063021086,0.04196415887845728
Bennu,36,crater_36,14.1,328.0,75.34984767080353,69.5657958984375,79.33128739362094,9.76549149518344,12.96020071314273,3.498124014613173,3.480052522100152,3.529460481084527,0.049407958984375,1.412413018462943,0.04642509736577241,0.04386733956343162,0.05073557249653779,4.34445247232609,0.8051932980959097,-0.09409984855248099
Bennu,37,crater_37,58.4,181.5,68.14186722751754,53.84413146972656,83.01459944112206,29.170467971395496,42.80843651377911,2.014046806117799,1.7621120453603396,2.3163523822973104,0.5542403369369708,27.51874163268845,0.02955667180931714,0.021226531925991093,0.043019588561840974,3.9390350531089906,0.5113046162227366,-0.29132028630531964
Bennu,38,crater_38,11.4,122.6,85.94232763579464,81.6160888671875,91.2003146110128,9.5842257438253,11.151927120756161,6.210949471987267,6.189505787091434,6.235388965802372,0.0458831787109375,0.7387466106089031,0.07226880680155597,0.06786715389624354,0.07639901706082873,4.938448662814434,1.2576721752226603,0.09956745267870815
Bennu,39,crater_39,4.9,136.9,81.44459176683854,55.54861068725586,109.38562477480164,53.83701408754578,66.10262623904069,5.166347950750018,5.144725820402499,5.185717126707431,0.04099130630493164,0.7934290662513502,0.06343389829419685,0.047032924399291375,0.09335457831526207,4.686472888966555,1.102395783172723,0.04233754332595974
Bennu,40,crater_40,-20.8,83.9,66.61692408054265,56.5205078125,79.8857763966112,23.365268584111206,35.074073002622605,3.662476974818001,3.5607034539497704,3.741146086866962,0.18044263291719176,4.926792281776965,0.05497817597206849,0.0445724334739121,0.06619094965101455,3.8531259364682415,0.9505209627731533,-0.0220383007698004
Bennu,41,crater_41,-56.0,256.0,67.79284984168304,58.47760009765625,73.55693133576665,15.079331238110399,22.243247294257774,2.1311800586182605,2.109553268253677,2.142664840519302,0.033111572265625,1.5536731460922506,0.03143664949320194,0.028679190797454034,0.03664077932304166,3.919377231847031,0.5437547683089257,-0.2645969215937669
Bennu,42,crater_42,44.5,237.5,57.38323859242191,47.6511344909668,67.71919009561545,20.06805560464865,34.971981534863836,0.9224376302050246,0.7891811813761933,1.0489688874637864,0.25978770608759305,28.16317305158633,0.01607503607032111,0.011653730357110247,0.02201351339625794,3.3318106931846834,0.27685775548169583,-0.5577433063014818
Bennu,43,crater_43,59.3,252.4,50.12980712953553,45.3323974609375,58.48647852670696,13.15408106576946,26.240039248065102,2.294926793472532,2.1821442628889827,2.4088843895154923,0.22674012662650966,9.880059236374223,0.04577968527870926,0.03731023508096046,0.05313825265013185,2.9207929355493865,0.7857204684182337,-0.10473193311537582
Bennu,44,crater_44,32.5,47.0,63.71971732661833,55.719329833984375,72.09574296305415,16.376413129069775,25.700699588993118,3.928233055465862,3.805450719929496,4.031348242675335,0.2258975227458393,5.750614068875538,0.06164862652058374,0.05278329293145116,0.07235098222980658,3.689768659806688,1.0646285492792027,0.0271981081153142
Bennu,45,crater_45,-59.5,165.6,58.96456796520713,53.54293823242188,66.10223645714332,12.559298224721438,21.299737551087,5.157686858156647,5.121475382682576,5.182062968807543,0.060587586124967174,1.1747046261474883,0.08747095138897672,0.07747809540457878,0.09678331335334985,3.421233633529087,1.5075517812083374,0.17827223816332005
Didymos,1,crater_1,39.6,2.8,153.6037103836452,140.91708374023438,164.53835677917107,23.621273038936693,15.378061493397196,7.712632702106021,6.807825239605108,8.399243899802798,1.5914186601976894,20.633922574364714,0.05021123957775968,0.04137530830420273,0.05960415640793354,8.695583472485255,0.8869597683134769,-0.05209607892330714
Didymos,2,crater_2,20.6,25.9,187.7377256033362,161.1474609375,204.0667555200647,42.9192945825647,22.861305283546063,8.754593946431404,6.228599575660041,11.530354759730074,5.301755184070032,60.55969261979492,0.04663204434961915,0.030522362938472943,0.0715515757595588,10.573215703762571,0.8279972897286116,-0.08197108478255322
Didymos,3,crater_3,1.0,44.5,206.8395386151865,170.39141845703125,232.2282784161981,61.836859959166844,29.896053903993128,10.578035022633893,8.065518978219416,11.915780586806306,3.850261608586891,36.39864682191409,0.05114126193403351,0.034730994146046426,0.0699318116763679,11.620016831228318,0.9103287177868674,-0.04080175653317997
Didymos,4,crater_4,-16.6,309.1,162.28884568429342,145.80984497070312,174.48054696595713,28.670701995254007,17.666464922073697,10.496360611508656,10.315250032447238,10.763176589165766,0.447926556718528,4.2674463397094256,0.06467703043453535,0.05911977129725439,0.07381652858439264,9.174265912324254,1.1441090449981797,0.05846741902351693
